ability_id,aliases,aliases_source,canonical_display_name_source,canonical_id_source,canonical_identity_basis,class,class_source,display_name,entity_type,source_page_url,source_role,starter_seed_applied,starter_seed_source
armor_plates,[],,source,source,source_initial,unknown,,Armor Plates,ability_or_equipment,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,False,
armor_satchel,[],,source,source,source_initial,unknown,,Armor Satchel,ability_or_equipment,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,False,
artillery_marker,[],,source,source,source_initial,unknown,,Artillery Marker,ability_or_equipment,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,False,
ascender,[],,source,source,source_initial,unknown,,Ascender,ability_or_equipment,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,False,
body_armor,"[""gear""]",source,source,source,source_initial,unknown,,Body Armor,ability_or_equipment,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,False,
gas_mask,[],,source,source,source_initial,equipment,source,Gas Mask,ability_or_equipment,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,False,
ghillie_suit,[],,source,source,source_initial,unknown,,Ghillie Suit,ability_or_equipment,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,False,
gulag_entry_token,[],,source,source,source_initial,unknown,,Gulag Entry Token,ability_or_equipment,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,False,
parachute,[],,source,source,source_initial,unknown,,Parachute,ability_or_equipment,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,False,
propane_tank,[],,source,source,source_initial,unknown,,Propane Tank,ability_or_equipment,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,False,
redeploy_extraction_token,[],,source,source,source_initial,unknown,,Redeploy Extraction Token,ability_or_equipment,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,False,
self_revive,[],,source,source,source_initial,unknown,,Self Revive,ability_or_equipment,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,False,
speed_boost,[],,source,source,source_initial,unknown,,Speed Boost,ability_or_equipment,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,False,
