anchor_ambiguity_type,anchor_ambiguous,anchor_source,artwork_like,asset_family,badge_like,binding_key,candidate_id,candidate_quality,display_name,fetch_status,generic_page_art,hard_reject,icon_like,license_note,logo_like,map_like,master_path,normalized_name,notes,paragraph_referential,portrait_like,prose_like,quality_reasons,quality_score,raw_label,reject_reasons,section_heading,source_kind,source_page_url,source_role,source_title,source_url
,False,,False,hero_portrait,False,alex_keller,candidate_9476d5099063,high,Alex Keller,downloaded,False,False,False,Source image fetched from Call of Duty Wiki (Fandom); publisher should verify reuse rights before external distribution.,False,False,/Users/tj/Documents/Codex/2026-04-21-https-github-com-iambehn-claude-repo/assets/games/call_of_duty/drafts/onboarding/20260505T213409Z/masters/heroes/alex_keller-099063.png,alex_keller,,False,True,False,"[""category member image"", ""portrait-like label""]",0.8,Alex Keller,[],Category,category_member_image,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,https://static.wikia.nocookie.net/callofduty/images/0/0d/Alex_Keller_Infobox_MWIII.png/revision/latest/smart/width/40/height/30?cb=20240112154753
,False,,False,hero_portrait,False,alexia_alice_valenzuela,candidate_e372fbbb3dcd,high,"Alexia ""Alice"" Valenzuela",downloaded,False,False,False,Source image fetched from Call of Duty Wiki (Fandom); publisher should verify reuse rights before external distribution.,False,False,/Users/tj/Documents/Codex/2026-04-21-https-github-com-iambehn-claude-repo/assets/games/call_of_duty/drafts/onboarding/20260505T213409Z/masters/heroes/alexia_alice_valenzuela-bb3dcd.png,alexia_alice_valenzuela,,False,True,False,"[""category member image"", ""portrait-like label""]",0.8,"Alexia ""Alice"" Valenzuela",[],Category,category_member_image,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,https://static.wikia.nocookie.net/callofduty/images/3/36/Alice_Operator_Default_MW.png/revision/latest/smart/width/40/height/30?cb=20240222163515
,False,,False,hero_portrait,False,anna_drake,candidate_1e2da0f54fe9,high,Anna Drake,downloaded,False,False,False,Source image fetched from Call of Duty Wiki (Fandom); publisher should verify reuse rights before external distribution.,False,False,/Users/tj/Documents/Codex/2026-04-21-https-github-com-iambehn-claude-repo/assets/games/call_of_duty/drafts/onboarding/20260505T213409Z/masters/heroes/anna_drake-f54fe9.png,anna_drake,,False,True,False,"[""category member image"", ""portrait-like label""]",0.8,Anna Drake,[],Category,category_member_image,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,https://static.wikia.nocookie.net/callofduty/images/6/6c/Anna_Operator_Default_CODV.png/revision/latest/smart/width/40/height/30?cb=20240223135855
,False,,False,hero_portrait,False,arthur_kingsley,candidate_975a65531281,high,Arthur Kingsley,downloaded,False,False,False,Source image fetched from Call of Duty Wiki (Fandom); publisher should verify reuse rights before external distribution.,False,False,/Users/tj/Documents/Codex/2026-04-21-https-github-com-iambehn-claude-repo/assets/games/call_of_duty/drafts/onboarding/20260505T213409Z/masters/heroes/arthur_kingsley-531281.png,arthur_kingsley,,False,True,False,"[""category member image"", ""portrait-like label""]",0.8,Arthur Kingsley,[],Category,category_member_image,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,https://static.wikia.nocookie.net/callofduty/images/0/02/Arthur_Kingsley_Captured_CODV.jpg/revision/latest/smart/width/40/height/30?cb=20220818034220
,False,,False,hero_portrait,False,azur_el_sarraf,candidate_59910e0b679e,high,Azur El-Sarraf,downloaded,False,False,False,Source image fetched from Call of Duty Wiki (Fandom); publisher should verify reuse rights before external distribution.,False,False,/Users/tj/Documents/Codex/2026-04-21-https-github-com-iambehn-claude-repo/assets/games/call_of_duty/drafts/onboarding/20260505T213409Z/masters/heroes/azur_el_sarraf-0b679e.png,azur_el_sarraf,,False,True,False,"[""category member image"", ""portrait-like label""]",0.8,Azur El-Sarraf,[],Category,category_member_image,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,https://static.wikia.nocookie.net/callofduty/images/9/95/Azur_Operator_Default_MW.png/revision/latest/smart/width/40/height/30?cb=20240222163337
,False,,False,hero_portrait,False,beatrice_mercier,candidate_aa19f0e4a711,high,Beatrice Mercier,downloaded,False,False,False,Source image fetched from Call of Duty Wiki (Fandom); publisher should verify reuse rights before external distribution.,False,False,/Users/tj/Documents/Codex/2026-04-21-https-github-com-iambehn-claude-repo/assets/games/call_of_duty/drafts/onboarding/20260505T213409Z/masters/heroes/beatrice_mercier-e4a711.png,beatrice_mercier,,False,True,False,"[""category member image"", ""portrait-like label""]",0.8,Beatrice Mercier,[],Category,category_member_image,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,https://static.wikia.nocookie.net/callofduty/images/a/a8/Beatrice_Operator_Default_CODV.png/revision/latest/smart/width/40/height/30?cb=20240223141334
,False,,False,hero_portrait,False,benito_fuze_ortega,candidate_3cea4a30e945,high,"Benito ""Fuze"" Ortega",downloaded,False,False,False,Source image fetched from Call of Duty Wiki (Fandom); publisher should verify reuse rights before external distribution.,False,False,/Users/tj/Documents/Codex/2026-04-21-https-github-com-iambehn-claude-repo/assets/games/call_of_duty/drafts/onboarding/20260505T213409Z/masters/heroes/benito_fuze_ortega-30e945.png,benito_fuze_ortega,,False,True,False,"[""category member image"", ""portrait-like label""]",0.8,"Benito ""Fuze"" Ortega",[],Category,category_member_image,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,https://static.wikia.nocookie.net/callofduty/images/b/be/Fuze_Operator_Default_BOCW.png/revision/latest/smart/width/40/height/30?cb=20240223121533
,False,,False,hero_portrait,False,benjamin_otter_lee,candidate_e5fee6266e31,high,"Benjamin ""Otter"" Lee",downloaded,False,False,False,Source image fetched from Call of Duty Wiki (Fandom); publisher should verify reuse rights before external distribution.,False,False,/Users/tj/Documents/Codex/2026-04-21-https-github-com-iambehn-claude-repo/assets/games/call_of_duty/drafts/onboarding/20260505T213409Z/masters/heroes/benjamin_otter_lee-266e31.png,benjamin_otter_lee,,False,True,False,"[""category member image"", ""portrait-like label""]",0.8,"Benjamin ""Otter"" Lee",[],Category,category_member_image,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,https://static.wikia.nocookie.net/callofduty/images/7/74/Otter_Operator_Default_MW.png/revision/latest/smart/width/40/height/30?cb=20240222163757
,False,,False,hero_portrait,False,callum_hendry,candidate_5aa8739123e7,high,Callum Hendry,downloaded,False,False,False,Source image fetched from Call of Duty Wiki (Fandom); publisher should verify reuse rights before external distribution.,False,False,/Users/tj/Documents/Codex/2026-04-21-https-github-com-iambehn-claude-repo/assets/games/call_of_duty/drafts/onboarding/20260505T213409Z/masters/heroes/callum_hendry-9123e7.png,callum_hendry,,False,True,False,"[""category member image"", ""portrait-like label""]",0.8,Callum Hendry,[],Category,category_member_image,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,https://static.wikia.nocookie.net/callofduty/images/c/c9/Callum_Operator_Default_CODV.png/revision/latest/smart/width/40/height/30?cb=20240223141112
,False,,False,hero_portrait,False,carver_butcher,candidate_44235af4da48,high,Carver Butcher,downloaded,False,False,False,Source image fetched from Call of Duty Wiki (Fandom); publisher should verify reuse rights before external distribution.,False,False,/Users/tj/Documents/Codex/2026-04-21-https-github-com-iambehn-claude-repo/assets/games/call_of_duty/drafts/onboarding/20260505T213409Z/masters/heroes/carver_butcher-f4da48.png,carver_butcher,,False,True,False,"[""category member image"", ""portrait-like label""]",0.8,Carver Butcher,[],Category,category_member_image,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,https://static.wikia.nocookie.net/callofduty/images/5/5c/Carver_Butcher_1984_Profile.png/revision/latest/smart/width/40/height/30?cb=20211214123255
