detection_id,display_name,item_type,reason,status,target_id,target_kind
,Armor Plates,missing_classification,ability class remains unknown after source ingestion and starter-seed fallback,needs_population_review,armor_plates,ability
,Armor Plates,weak_metadata_with_candidate,candidate asset exists but ontology metadata is still weak,needs_population_review,armor_plates,ability
,Armor Satchel,missing_classification,ability class remains unknown after source ingestion and starter-seed fallback,needs_population_review,armor_satchel,ability
,Armor Satchel,weak_metadata_with_candidate,candidate asset exists but ontology metadata is still weak,needs_population_review,armor_satchel,ability
,Artillery Marker,missing_classification,ability class remains unknown after source ingestion and starter-seed fallback,needs_population_review,artillery_marker,ability
,Artillery Marker,weak_metadata_with_candidate,candidate asset exists but ontology metadata is still weak,needs_population_review,artillery_marker,ability
,Ascender,missing_classification,ability class remains unknown after source ingestion and starter-seed fallback,needs_population_review,ascender,ability
,Ascender,weak_metadata_with_candidate,candidate asset exists but ontology metadata is still weak,needs_population_review,ascender,ability
,Body Armor,missing_classification,ability class remains unknown after source ingestion and starter-seed fallback,needs_population_review,body_armor,ability
,Ghillie Suit,missing_classification,ability class remains unknown after source ingestion and starter-seed fallback,needs_population_review,ghillie_suit,ability
,Ghillie Suit,weak_metadata_with_candidate,candidate asset exists but ontology metadata is still weak,needs_population_review,ghillie_suit,ability
,Gulag Entry Token,missing_classification,ability class remains unknown after source ingestion and starter-seed fallback,needs_population_review,gulag_entry_token,ability
,Gulag Entry Token,weak_metadata_with_candidate,candidate asset exists but ontology metadata is still weak,needs_population_review,gulag_entry_token,ability
,Parachute,missing_classification,ability class remains unknown after source ingestion and starter-seed fallback,needs_population_review,parachute,ability
,Parachute,weak_metadata_with_candidate,candidate asset exists but ontology metadata is still weak,needs_population_review,parachute,ability
,Propane Tank,missing_classification,ability class remains unknown after source ingestion and starter-seed fallback,needs_population_review,propane_tank,ability
,Propane Tank,weak_metadata_with_candidate,candidate asset exists but ontology metadata is still weak,needs_population_review,propane_tank,ability
,Redeploy Extraction Token,missing_classification,ability class remains unknown after source ingestion and starter-seed fallback,needs_population_review,redeploy_extraction_token,ability
,Redeploy Extraction Token,weak_metadata_with_candidate,candidate asset exists but ontology metadata is still weak,needs_population_review,redeploy_extraction_token,ability
,Self Revive,missing_classification,ability class remains unknown after source ingestion and starter-seed fallback,needs_population_review,self_revive,ability
