aliases,aliases_source,canonical_display_name_source,canonical_id_source,canonical_identity_basis,category,category_source,display_name,entity_type,event_id,source_page_url,source_role,starter_seed_applied,starter_seed_source
[],,source,source,source_initial,unknown,,Double Kill,event_badge_or_medal,double_kill,https://callofduty.fandom.com/wiki/File:Double_Kill_Medal_BO3.png,events,False,
[],,source,source,source_initial,unknown,,Triple Kill,event_badge_or_medal,triple_kill,https://callofduty.fandom.com/wiki/File:Triple_Kill_Medal_BO3.png,events,False,
[],,source,source,source_initial,unknown,,Fury Kill,event_badge_or_medal,fury_kill,https://callofduty.fandom.com/wiki/File:Fury_Kill_Medal_BO3.png,events,False,
[],,source,source,source_initial,unknown,,Frenzy Kill,event_badge_or_medal,frenzy_kill,https://callofduty.fandom.com/wiki/File:Frenzy_Kill_Medal_BO3.png,events,False,
[],,source,source,source_initial,unknown,,Mega Kill,event_badge_or_medal,mega_kill,https://callofduty.fandom.com/wiki/File:Mega_Kill_Medal_BO3.png,events,False,
[],,source,source,source_initial,unknown,,Ultra Kill,event_badge_or_medal,ultra_kill,https://callofduty.fandom.com/wiki/File:Ultra_Kill_Medal_BO3.png,events,False,
[],,source,source,source_initial,unknown,,Kill Chain,event_badge_or_medal,kill_chain,https://callofduty.fandom.com/wiki/File:Kill_Chain_Medal_BO3.png,events,False,
[],,source,source,source_initial,unknown,,Bloodthirsty,event_badge_or_medal,bloodthirsty,https://callofduty.fandom.com/wiki/File:Bloodthirsty_Medal_BOCW.png,events,False,
[],,source,source,source_initial,unknown,,Merciless,event_badge_or_medal,merciless,https://callofduty.fandom.com/wiki/File:Merciless_Medal_BOCW.png,events,False,
[],,source,source,source_initial,unknown,,Ruthless,event_badge_or_medal,ruthless,https://callofduty.fandom.com/wiki/File:Ruthless_Medal_BOCW.png,events,False,
[],,source,source,source_initial,unknown,,Relentless,event_badge_or_medal,relentless,https://callofduty.fandom.com/wiki/File:Relentless_Medal_BOCW.png,events,False,
[],,source,source,source_initial,unknown,,Brutal,event_badge_or_medal,brutal,https://callofduty.fandom.com/wiki/File:Brutal_Medal_BOCW.png,events,False,
[],,source,source,source_initial,unknown,,Nuclear,event_badge_or_medal,nuclear,https://callofduty.fandom.com/wiki/File:Nuclear_Medal_BOCW.png,events,False,
[],,source,source,source_initial,unknown,,Unstoppable,event_badge_or_medal,unstoppable,https://callofduty.fandom.com/wiki/File:Unstoppable_Medal_BOCW.png,events,False,
[],,source,source,source_initial,unknown,,Victor,event_badge_or_medal,victor,https://callofduty.fandom.com/wiki/File:Victor_Medal_BOCW.png,events,False,
