content_type,section_count,seed_family,source_page_url,source_role,source_title,status
image/png,1,BO3,https://callofduty.fandom.com/wiki/File:Double_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3),fetched
image/png,1,BO3,https://callofduty.fandom.com/wiki/File:Triple_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3),fetched
image/png,1,BO3,https://callofduty.fandom.com/wiki/File:Fury_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3),fetched
image/png,1,BO3,https://callofduty.fandom.com/wiki/File:Frenzy_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3),fetched
image/png,1,BO3,https://callofduty.fandom.com/wiki/File:Mega_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3),fetched
image/png,1,BO3,https://callofduty.fandom.com/wiki/File:Ultra_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3),fetched
image/png,1,BO3,https://callofduty.fandom.com/wiki/File:Kill_Chain_Medal_BO3.png,events,Call of Duty medal seed (BO3),fetched
image/png,1,BOCW,https://callofduty.fandom.com/wiki/File:Bloodthirsty_Medal_BOCW.png,events,Call of Duty medal seed (BOCW),fetched
image/png,1,BOCW,https://callofduty.fandom.com/wiki/File:Merciless_Medal_BOCW.png,events,Call of Duty medal seed (BOCW),fetched
image/png,1,BOCW,https://callofduty.fandom.com/wiki/File:Ruthless_Medal_BOCW.png,events,Call of Duty medal seed (BOCW),fetched
image/png,1,BOCW,https://callofduty.fandom.com/wiki/File:Relentless_Medal_BOCW.png,events,Call of Duty medal seed (BOCW),fetched
image/png,1,BOCW,https://callofduty.fandom.com/wiki/File:Brutal_Medal_BOCW.png,events,Call of Duty medal seed (BOCW),fetched
image/png,1,BOCW,https://callofduty.fandom.com/wiki/File:Nuclear_Medal_BOCW.png,events,Call of Duty medal seed (BOCW),fetched
image/png,1,BOCW,https://callofduty.fandom.com/wiki/File:Unstoppable_Medal_BOCW.png,events,Call of Duty medal seed (BOCW),fetched
image/png,1,BOCW,https://callofduty.fandom.com/wiki/File:Victor_Medal_BOCW.png,events,Call of Duty medal seed (BOCW),fetched
