asset_id,display_name,qa_status,source_url,source_role,source_page_url
call_of_duty.event_badge_or_medal.battleroyale_icon_vg_wz.0c5898df,BattleRoyale Icon VG WZ,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/9/9a/BattleRoyale_Icon_VG_WZ.png/revision/latest/scale-to-width-down/100?cb=20250512191616,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.plunder_icon_vg_wz.1c760201,Plunder Icon VG WZ,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/c/c9/Plunder_Icon_VG_WZ.png/revision/latest/scale-to-width-down/100?cb=20250513103815,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.resurgence_logo_wz.7ef200a1,Resurgence Logo WZ,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/1/1d/Resurgence_Logo_WZ.png/revision/latest/scale-to-width-down/100?cb=20210805145756,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.pre.15176095,Pre,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/3/3a/Verdansk_Map_PreRelease_Warzone_MW.jpg/revision/latest/scale-to-width-down/148?cb=20200309173312,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.verdansk_at_launch.2e3dd9af,Verdansk at launch.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/3/31/Warzone_Map_MW.jpg/revision/latest/scale-to-width-down/185?cb=20200310195649,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.verdansk_during_season_four_of_modern_warfare.5d7dafb5,Verdansk during Season Four of Modern Warfare.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/9/91/Warzone_Map_Season4_MW.jpg/revision/latest/scale-to-width-down/185?cb=20200701093203,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.verdansk_during_season_five_of_modern_warfare.75233131,Verdansk during Season Five of Modern Warfare.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/0/0c/Warzone_Map_Season5_MW.jpg/revision/latest/scale-to-width-down/185?cb=20200806123800,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.verdnask_during_season_six_of_modern_warfare.97828340,Verdnask during Season Six of Modern Warfare.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/8/8c/Warzone_Map_Season6_MW.jpg/revision/latest/scale-to-width-down/185?cb=20201001093403,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.verdansk_during_season_one_of_black_ops_cold_war.dceebd16,Verdansk during Season One of Black Ops Cold War.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/6/68/Verdansk_Map_Season1BOCW_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20201217172753,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.verdansk_during_season_two_of_black_ops_cold_war.e60d7fa3,Verdansk during Season Two of Black Ops Cold War.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/1/10/Verdansk_Map_Season2BOCW_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20210225092517,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.verdansk_84_at_the_start_of_season_three_of_black_ops_cold_war.ee6161df,Verdansk '84 at the start of Season Three of Black Ops Cold War.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/6/61/Verdansk84_Map_Season3BOCW_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20210422200528,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.verdansk_84_during_the_80s_action_heroes_event.5be0b0d2,Verdansk '84 during the 80s Action Heroes event.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/7/79/Verdansk84_Map_Season3BOCW_80sActionHeroes_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20210520093735,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.verdansk_84_during_season_four_of_black_ops_cold_war.75a86e01,Verdansk '84 during Season Four of Black Ops Cold War.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/7/75/Verdansk84_Map_Season4BOCW_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20210617203200,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.verdansk_84_during_season_five_of_black_ops_cold_war.ee1c0cdc,Verdansk '84 during Season Five of Black Ops Cold War.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/5/58/Verdansk84_Map_Season5BOCW_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20210813092451,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.verdansk_84_during_season_six_of_black_ops_cold_war.9464a0c6,Verdansk '84 during Season Six of Black Ops Cold War.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/4/43/Verdansk84_Map_Season6BOCW_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20211014103034,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.pre.e00fa720,Pre,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/3/3a/RebirthIsland_PreRelease_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20240306023513,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.rebirth_island_at_launch.e7ed722a,Rebirth Island at launch.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/1/17/RebirthIsland_Map_Warzone_MW.jpg/revision/latest/scale-to-width-down/185?cb=20201216101425,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.rebirth_island_during_the_destruction_of_verdansk_event.84fdf2b0,Rebirth Island during The Destruction of Verdansk event.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/d/d2/RebirthIsland_Night_Map_WZ.png/revision/latest/scale-to-width-down/185?cb=20210421230415,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.rebirth_island_after_season_three_reloaded_of_black_ops_cold_war.090b15ac,Rebirth Island after Season Three Reloaded of Black Ops Cold War.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/9/98/RebirthIsland_BOCWS3_Map_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20210520093730,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.pre.e67f79c9,Pre,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/8/83/RebirthIsland_Reinforced_PreRelease_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20240306023530,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.rebirth_island_after_season_two_reloaded_of_vanguard.43c12403,Rebirth Island after Season Two Reloaded of Vanguard.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/0/0a/RebirthIsland_VGS2_Map_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20220613191921,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.rebirth_island_during_the_rebirth_of_the_dead_game_mode.fca0c91f,Rebirth Island during the Rebirth of the Dead game mode.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/9/9d/RebirthIsland_Vanguard_RebirthOfTheDead_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20250611164756,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.rebirth_island_after_season_five_of_vanguard.a3f6f7af,Rebirth Island after Season Five of Vanguard.,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/f/fd/RebirthIsland_Vanguard_SeasonFive_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20250611164944,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
call_of_duty.event_badge_or_medal.pre.146f57ca,Pre,needs_manual_crop,https://static.wikia.nocookie.net/callofduty/images/d/d7/Caldera_OverviewPOIs_PreRelease_Promo_WZ.jpg/revision/latest/scale-to-width-down/185?cb=20211201160723,events,https://callofduty.fandom.com/wiki/Call_of_Duty:_Warzone
