ability_id,game_id,display_name,source_page_url,source_role,source_title,section_heading
call_of_duty.armor_plates,call_of_duty,Armor Plates,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,Category:Call of Duty: Warzone Equipment | Call of Duty Wiki | Fandom,Category
call_of_duty.armor_satchel,call_of_duty,Armor Satchel,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,Category:Call of Duty: Warzone Equipment | Call of Duty Wiki | Fandom,Category
call_of_duty.artillery_marker,call_of_duty,Artillery Marker,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,Category:Call of Duty: Warzone Equipment | Call of Duty Wiki | Fandom,Category
call_of_duty.ascender,call_of_duty,Ascender,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,Category:Call of Duty: Warzone Equipment | Call of Duty Wiki | Fandom,Category
call_of_duty.body_armor_gear,call_of_duty,Body Armor (gear),https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,Category:Call of Duty: Warzone Equipment | Call of Duty Wiki | Fandom,Category
call_of_duty.gas_mask_equipment,call_of_duty,Gas Mask (equipment),https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,Category:Call of Duty: Warzone Equipment | Call of Duty Wiki | Fandom,Category
call_of_duty.ghillie_suit,call_of_duty,Ghillie Suit,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,Category:Call of Duty: Warzone Equipment | Call of Duty Wiki | Fandom,Category
call_of_duty.gulag_entry_token,call_of_duty,Gulag Entry Token,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,Category:Call of Duty: Warzone Equipment | Call of Duty Wiki | Fandom,Category
call_of_duty.parachute,call_of_duty,Parachute,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,Category:Call of Duty: Warzone Equipment | Call of Duty Wiki | Fandom,Category
call_of_duty.propane_tank,call_of_duty,Propane Tank,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,Category:Call of Duty: Warzone Equipment | Call of Duty Wiki | Fandom,Category
call_of_duty.redeploy_extraction_token,call_of_duty,Redeploy Extraction Token,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,Category:Call of Duty: Warzone Equipment | Call of Duty Wiki | Fandom,Category
call_of_duty.self_revive,call_of_duty,Self Revive,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,Category:Call of Duty: Warzone Equipment | Call of Duty Wiki | Fandom,Category
call_of_duty.speed_boost,call_of_duty,Speed Boost,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Equipment,equipment,Category:Call of Duty: Warzone Equipment | Call of Duty Wiki | Fandom,Category
