asset_id,game_id,entity_id,asset_family,display_name,source_url,source_page_url,source_role,source_title,draft_local_path,template_path,mask_path,roi_ref,match_method,threshold,scale_set,temporal_window,license_note,qa_status
call_of_duty.character_or_operator.alex_keller.9268ea5c,call_of_duty,call_of_duty.alex_keller,hero_portrait,Alex Keller,https://static.wikia.nocookie.net/callofduty/images/0/0d/Alex_Keller_Infobox_MWIII.png/revision/latest/smart/width/40/height/30?cb=20240112154753,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,,,,hud.hero_portrait,TM_CCOEFF_NORMED,0.88,"[0.75, 1.0, 1.25]",2,internal_review_required,needs_manual_crop
call_of_duty.character_or_operator.alexia_alice_valenzuela.d392e21d,call_of_duty,call_of_duty.alexia_alice_valenzuela,hero_portrait,"Alexia ""Alice"" Valenzuela",https://static.wikia.nocookie.net/callofduty/images/3/36/Alice_Operator_Default_MW.png/revision/latest/smart/width/40/height/30?cb=20240222163515,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,,,,hud.hero_portrait,TM_CCOEFF_NORMED,0.88,"[0.75, 1.0, 1.25]",2,internal_review_required,needs_manual_crop
call_of_duty.character_or_operator.anna_drake.2ea00a84,call_of_duty,call_of_duty.anna_drake,hero_portrait,Anna Drake,https://static.wikia.nocookie.net/callofduty/images/6/6c/Anna_Operator_Default_CODV.png/revision/latest/smart/width/40/height/30?cb=20240223135855,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,,,,hud.hero_portrait,TM_CCOEFF_NORMED,0.88,"[0.75, 1.0, 1.25]",2,internal_review_required,needs_manual_crop
call_of_duty.character_or_operator.arthur_kingsley.f86d40bd,call_of_duty,call_of_duty.arthur_kingsley,hero_portrait,Arthur Kingsley,https://static.wikia.nocookie.net/callofduty/images/0/02/Arthur_Kingsley_Captured_CODV.jpg/revision/latest/smart/width/40/height/30?cb=20220818034220,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,,,,hud.hero_portrait,TM_CCOEFF_NORMED,0.88,"[0.75, 1.0, 1.25]",2,internal_review_required,needs_manual_crop
call_of_duty.character_or_operator.azur_el.f8c0850b,call_of_duty,call_of_duty.azur_el,hero_portrait,Azur El,https://static.wikia.nocookie.net/callofduty/images/9/95/Azur_Operator_Default_MW.png/revision/latest/smart/width/40/height/30?cb=20240222163337,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,,,,hud.hero_portrait,TM_CCOEFF_NORMED,0.88,"[0.75, 1.0, 1.25]",2,internal_review_required,needs_manual_crop
call_of_duty.character_or_operator.beatrice_mercier.77ddc329,call_of_duty,call_of_duty.beatrice_mercier,hero_portrait,Beatrice Mercier,https://static.wikia.nocookie.net/callofduty/images/a/a8/Beatrice_Operator_Default_CODV.png/revision/latest/smart/width/40/height/30?cb=20240223141334,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,,,,hud.hero_portrait,TM_CCOEFF_NORMED,0.88,"[0.75, 1.0, 1.25]",2,internal_review_required,needs_manual_crop
call_of_duty.character_or_operator.benito_fuze_ortega.59bb254e,call_of_duty,call_of_duty.benito_fuze_ortega,hero_portrait,"Benito ""Fuze"" Ortega",https://static.wikia.nocookie.net/callofduty/images/b/be/Fuze_Operator_Default_BOCW.png/revision/latest/smart/width/40/height/30?cb=20240223121533,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,,,,hud.hero_portrait,TM_CCOEFF_NORMED,0.88,"[0.75, 1.0, 1.25]",2,internal_review_required,needs_manual_crop
call_of_duty.character_or_operator.benjamin_otter_lee.721489aa,call_of_duty,call_of_duty.benjamin_otter_lee,hero_portrait,"Benjamin ""Otter"" Lee",https://static.wikia.nocookie.net/callofduty/images/7/74/Otter_Operator_Default_MW.png/revision/latest/smart/width/40/height/30?cb=20240222163757,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,,,,hud.hero_portrait,TM_CCOEFF_NORMED,0.88,"[0.75, 1.0, 1.25]",2,internal_review_required,needs_manual_crop
call_of_duty.character_or_operator.callum_hendry.c9903fbb,call_of_duty,call_of_duty.callum_hendry,hero_portrait,Callum Hendry,https://static.wikia.nocookie.net/callofduty/images/c/c9/Callum_Operator_Default_CODV.png/revision/latest/smart/width/40/height/30?cb=20240223141112,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,,,,hud.hero_portrait,TM_CCOEFF_NORMED,0.88,"[0.75, 1.0, 1.25]",2,internal_review_required,needs_manual_crop
call_of_duty.character_or_operator.carver_butcher.0f970cca,call_of_duty,call_of_duty.carver_butcher,hero_portrait,Carver Butcher,https://static.wikia.nocookie.net/callofduty/images/5/5c/Carver_Butcher_1984_Profile.png/revision/latest/smart/width/40/height/30?cb=20211214123255,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,,,,hud.hero_portrait,TM_CCOEFF_NORMED,0.88,"[0.75, 1.0, 1.25]",2,internal_review_required,needs_manual_crop
call_of_duty.character_or_operator.charlotte_charly_johnstone.7147d75d,call_of_duty,call_of_duty.charlotte_charly_johnstone,hero_portrait,"Charlotte ""Charly"" Johnstone",https://static.wikia.nocookie.net/callofduty/images/0/0d/Charly_Operator_Default_MW.png/revision/latest/smart/width/40/height/30?cb=20240222163829,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,,,,hud.hero_portrait,TM_CCOEFF_NORMED,0.88,"[0.75, 1.0, 1.25]",2,internal_review_required,needs_manual_crop
call_of_duty.character_or_operator.colton_stryker_greenfield.3fcca46a,call_of_duty,call_of_duty.colton_stryker_greenfield,hero_portrait,"Colton ""Stryker"" Greenfield",https://static.wikia.nocookie.net/callofduty/images/9/90/Stryker_Operator_Default_BOCW.png/revision/latest/smart/width/40/height/30?cb=20240223121701,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,,,,hud.hero_portrait,TM_CCOEFF_NORMED,0.88,"[0.75, 1.0, 1.25]",2,internal_review_required,needs_manual_crop
