entity_id,entity_type,game_id,display_name,source_page_url,source_role,source_title,section_heading
call_of_duty.alex_keller,character_or_operator,call_of_duty,Alex Keller,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.alex_mason,character_or_operator,call_of_duty,Alex Mason,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.alexia_alice_valenzuela,character_or_operator,call_of_duty,"Alexia ""Alice"" Valenzuela",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.anna_drake,character_or_operator,call_of_duty,Anna Drake,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.arthur_kingsley,character_or_operator,call_of_duty,Arthur Kingsley,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.azur_el,character_or_operator,call_of_duty,Azur El,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.beatrice_mercier,character_or_operator,call_of_duty,Beatrice Mercier,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.benito_fuze_ortega,character_or_operator,call_of_duty,"Benito ""Fuze"" Ortega",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.benjamin_otter_lee,character_or_operator,call_of_duty,"Benjamin ""Otter"" Lee",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.callum_hendry,character_or_operator,call_of_duty,Callum Hendry,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.carver_butcher,character_or_operator,call_of_duty,Carver Butcher,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.charlotte_charly_johnstone,character_or_operator,call_of_duty,"Charlotte ""Charly"" Johnstone",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.colton_stryker_greenfield,character_or_operator,call_of_duty,"Colton ""Stryker"" Greenfield",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.competitor,character_or_operator,call_of_duty,Competitor,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.constanze_muller,character_or_operator,call_of_duty,Constanze Muller,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.damian_raines,character_or_operator,call_of_duty,Damian Raines,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.daniel_ronin_shinoda,character_or_operator,call_of_duty,"Daniel ""Ronin"" Shinoda",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.daniel_yatsu,character_or_operator,call_of_duty,Daniel Yatsu,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.dmitry_bale,character_or_operator,call_of_duty,Dmitry Bale,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.dominique_domino_tam,character_or_operator,call_of_duty,"Dominique ""Domino"" Tam",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.eleazar_lazar_azoulay,character_or_operator,call_of_duty,"Eleazar ""Lazar"" Azoulay",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.farah_karim,character_or_operator,call_of_duty,Farah Karim,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.florence_carter,character_or_operator,call_of_duty,Florence Carter,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.francis_kai_lanakila,character_or_operator,call_of_duty,"Francis ""Kai"" Lanakila",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.frank_woods,character_or_operator,call_of_duty,Frank Woods,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.freya_wraith_helvig,character_or_operator,call_of_duty,"Freya ""Wraith"" Helvig",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.gabriel_t_rorke,character_or_operator,call_of_duty,Gabriel T. Rorke,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.ghostface,character_or_operator,call_of_duty,Ghostface,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.grigori_weaver,character_or_operator,call_of_duty,Grigori Weaver,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.grinch_operator,character_or_operator,call_of_duty,Grinch (operator),https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.gustavo_dos_santos,character_or_operator,call_of_duty,Gustavo dos Santos,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.halima_zambardi,character_or_operator,call_of_duty,Halima Zambardi,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.hans_golem_blaustein,character_or_operator,call_of_duty,"Hans ""Golem"" Blaustein",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.harry_stone,character_or_operator,call_of_duty,Harry Stone,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.he_seraph_zhen,character_or_operator,call_of_duty,"He ""Seraph"" Zhen",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.helen_park,character_or_operator,call_of_duty,Helen Park,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.ikenna_olowe,character_or_operator,call_of_duty,Ikenna Olowe,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.ingo_beck,character_or_operator,call_of_duty,Ingo Beck,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.isabella_reyes,character_or_operator,call_of_duty,Isabella Reyes,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.iskra,character_or_operator,call_of_duty,Iskra,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.jabari_salah,character_or_operator,call_of_duty,Jabari Salah,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.jackson_wyatt,character_or_operator,call_of_duty,Jackson Wyatt,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.jacob_thorne,character_or_operator,call_of_duty,Jacob Thorne,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.jada_powers,character_or_operator,call_of_duty,Jada Powers,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.jason_hudson,character_or_operator,call_of_duty,Jason Hudson,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.jason_hunter,character_or_operator,call_of_duty,Jason Hunter,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.john_baker,character_or_operator,call_of_duty,John Baker,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.john_mcclane,character_or_operator,call_of_duty,John McClane,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.john_price_reboot,character_or_operator,call_of_duty,John Price (Reboot),https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.john_rambo,character_or_operator,call_of_duty,John Rambo,https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
call_of_duty.johnny_soap_mactavish,character_or_operator,call_of_duty,"Johnny ""Soap"" MacTavish",https://callofduty.fandom.com/wiki/Category:Call_of_Duty:_Warzone_Operators,operators,Category:Call of Duty: Warzone Operators | Call of Duty Wiki | Fandom,Category
