display_name,event_id,game_id,section_heading,seed_family,source_page_url,source_role,source_title
Double Kill,call_of_duty.double_kill,call_of_duty,multikill,BO3,https://callofduty.fandom.com/wiki/File:Double_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3)
Triple Kill,call_of_duty.triple_kill,call_of_duty,multikill,BO3,https://callofduty.fandom.com/wiki/File:Triple_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3)
Fury Kill,call_of_duty.fury_kill,call_of_duty,multikill,BO3,https://callofduty.fandom.com/wiki/File:Fury_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3)
Frenzy Kill,call_of_duty.frenzy_kill,call_of_duty,multikill,BO3,https://callofduty.fandom.com/wiki/File:Frenzy_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3)
Mega Kill,call_of_duty.mega_kill,call_of_duty,multikill,BO3,https://callofduty.fandom.com/wiki/File:Mega_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3)
Ultra Kill,call_of_duty.ultra_kill,call_of_duty,multikill,BO3,https://callofduty.fandom.com/wiki/File:Ultra_Kill_Medal_BO3.png,events,Call of Duty medal seed (BO3)
Kill Chain,call_of_duty.kill_chain,call_of_duty,multikill,BO3,https://callofduty.fandom.com/wiki/File:Kill_Chain_Medal_BO3.png,events,Call of Duty medal seed (BO3)
Bloodthirsty,call_of_duty.bloodthirsty,call_of_duty,elimination_streak,BOCW,https://callofduty.fandom.com/wiki/File:Bloodthirsty_Medal_BOCW.png,events,Call of Duty medal seed (BOCW)
Merciless,call_of_duty.merciless,call_of_duty,elimination_streak,BOCW,https://callofduty.fandom.com/wiki/File:Merciless_Medal_BOCW.png,events,Call of Duty medal seed (BOCW)
Ruthless,call_of_duty.ruthless,call_of_duty,elimination_streak,BOCW,https://callofduty.fandom.com/wiki/File:Ruthless_Medal_BOCW.png,events,Call of Duty medal seed (BOCW)
Relentless,call_of_duty.relentless,call_of_duty,elimination_streak,BOCW,https://callofduty.fandom.com/wiki/File:Relentless_Medal_BOCW.png,events,Call of Duty medal seed (BOCW)
Brutal,call_of_duty.brutal,call_of_duty,elimination_streak,BOCW,https://callofduty.fandom.com/wiki/File:Brutal_Medal_BOCW.png,events,Call of Duty medal seed (BOCW)
Nuclear,call_of_duty.nuclear,call_of_duty,elimination_streak,BOCW,https://callofduty.fandom.com/wiki/File:Nuclear_Medal_BOCW.png,events,Call of Duty medal seed (BOCW)
Unstoppable,call_of_duty.unstoppable,call_of_duty,elimination_streak,BOCW,https://callofduty.fandom.com/wiki/File:Unstoppable_Medal_BOCW.png,events,Call of Duty medal seed (BOCW)
Victor,call_of_duty.victor,call_of_duty,payoff_or_victory,BOCW,https://callofduty.fandom.com/wiki/File:Victor_Medal_BOCW.png,events,Call of Duty medal seed (BOCW)
